
"[run number]","flock-behavior","movement-decrease","[step]","count turtles with [friends-score = 0]","count turtles with [lonely? = true]","mean [link-weight] of turtles","mean [friends-score] of turtles","standard-deviation [link-weight] of turtles","standard-deviation [friends-score] of turtles"
"173","true","true","2000","0","11","153.68535105220917","3.144","84.14048343921121","1.0807107582382471"
"175","true","true","2000","1","15","145.50211941690011","3.016","80.56665400292263","1.0256470188270983"
"176","true","true","2000","0","13","161.49779742373804","3.144","90.1719046014089","1.0581790830892233"
"177","true","true","2000","2","18","157.86056443647738","3.008","88.34749191033346","1.093948303881982"
"174","true","true","2000","0","21","150.47261406062145","3.176","85.04158901241584","1.0944474683803596"
"178","true","true","2000","0","20","156.5976308506289","3.32","89.53104349455094","1.169216948685045"
"179","true","true","2000","1","16","155.06815690384153","3.368","91.95591263525637","1.1338954429320234"
"180","true","true","2000","0","19","149.70338900604878","3.192","84.7760218664916","1.2202837249910006"
"182","true","true","2000","2","18","152.29413119653776","3.16","88.1523822483782","1.1258196478646443"
"183","true","true","2000","0","20","150.63662334995587","3.032","92.37919809773985","1.0898288432733458"
"184","true","true","2000","0","18","145.6927476552707","3.152","83.40898349927566","1.083323756522389"
"181","true","true","2000","0","10","156.6290894035514","3.24","89.32486502459494","1.0520586054193681"
"185","true","true","2000","4","15","144.29521383513108","3.008","83.58434324571923","1.165060282495026"
"186","true","true","2000","0","10","154.2023023964116","3.224","76.69510303491215","1.1255627775762038"
"187","true","true","2000","1","20","153.4747542031487","3.232","94.3973125568571","1.1521657622821038"
"189","true","true","2000","1","15","149.93612363591285","3.32","84.65715420926146","1.1726467505631966"
"190","true","true","2000","0","15","163.08030866738326","3.232","91.2164186815765","1.0949757474712392"
"191","true","true","2000","0","18","157.7082095134848","3.176","93.43186879136555","1.12698909385614"
"192","true","true","2000","0","14","148.14769713183878","3.248","82.09508586061754","1.102432505743039"
"193","true","true","2000","2","18","151.15217742634212","3.176","90.06680991476645","1.1655289920569556"
"188","true","true","2000","2","12","145.29967532142038","3.224","78.9391064245151","1.051783721106166"
"194","true","true","2000","0","12","151.49968332403557","3.136","80.25492113295664","1.0439652550804848"
"195","true","true","2000","1","20","163.24288581480792","3.096","97.24383095809125","1.118834735185958"
"196","true","true","2000","1","15","138.4766167168761","3.36","80.51025093417724","1.1950365893139834"
"198","true","true","2000","1","14","145.35725782527635","3.16","78.478040348748","1.1470233871209465"
"199","true","true","2000","2","15","157.82345187613828","3.152","88.22851256002953","1.175766006827568"
"200","true","true","2000","2","17","157.89526677242222","3.256","91.3337793980535","1.2017657691311674"
"201","true","true","2000","1","14","154.51719576258452","3.304","85.47837478475417","1.1769131225336766"
"197","true","true","2000","0","14","154.7900580017401","3.264","87.72208096564543","1.0950344294160008"
"202","true","true","2000","0","16","149.82013287036762","3.2","87.25145481327637","1.222283070166014"
"203","true","true","2000","1","21","164.55982607752685","3.056","101.84390326219906","1.074000889965454"
"204","true","true","2000","0","14","157.51587522113203","3.152","89.82124831102999","1.0262107160495533"
"206","true","true","2000","0","8","160.70934625202676","3.184","81.65517444349163","0.9260530747148096"
"207","true","true","2000","1","12","151.26654192847957","3.064","81.85554949226663","1.027681134426542"
"208","true","true","2000","2","16","153.68234828106475","3.256","84.30634335955516","1.0558994719096704"
"205","true","true","2000","1","18","152.78540903474848","3.032","88.76833763196727","1.0749876248470471"
